#1	
"double Cosine(6247, 2)"	
883	0.854293
883.5	0.901458
884	0.947501
884.5	0.982499
885	1
885.5	1
886	1
886.5	0
887	0
887.5	0
888	0
888.5	0
889	0
889.5	0
890	0
890.5	0
891	0
891.5	0
892	0.95759
892.5	0
893	0
893.5	0.827538
894	0.810479
894.5	0.822507
895	0.857939
895.5	0.904371
896	0.949683
896.5	0.98367
897	1
897.5	0
898	0
898.5	0
899	0
899.5	0
900	0
900.5	0
901	0
901.5	0
902	0
902.5	0
903	0
903.5	0.989224
904	0.959116
904.5	0
905	0.869412
905.5	0.831248
906	0.814555
906.5	0.826553
907	0.861548
907.5	0.907254
908	0.951661
908.5	0.984803
909	1
909.5	1
910	1
910.5	0
911	0
911.5	0
912	0
912.5	0
913	0
913.5	0
914	0
914.5	0
915	0
915.5	0.989948
916	0.960692
916.5	0.918376
917	0.872451
917.5	0.834929
918	0.818597
918.5	0.830562
919	0.865118
919.5	0.910165
920	0.953684
920.5	0.985898
921	1
921.5	1
922	1
922.5	0
923	0
923.5	0
924	0
924.5	0
925	0
925.5	0
926	0
926.5	0
927	0
927.5	0.990647
928	0.96217
928.5	0.920624
929	0.875058
929.5	0.838578
930	0.822605
930.5	0.834533
931	0.868647
931.5	0.912989
932	0.955666
932.5	0.986954
933	1
933.5	1
934	1
934.5	0
935	0
935.5	0
936	0
936.5	0
937	0
937.5	0
938	0
938.5	0
939	0
939.5	0.99132
940	0.963608
940.5	0.922857
941	0.87844
941.5	0.842194
942	0.826577
942.5	0.838463
943	0.872136
943.5	0.915771
944	0.957607
944.5	0.987971
945	1
945.5	1
946	1
946.5	0
947	0
947.5	0
948	0
948.5	0
949	0
949.5	0
950	0
950.5	0
951	0
951.5	0.991968
952	0.965023
952.5	0.925032
953	0.881388
953.5	0.845777
954	0.830511
954.5	0.842353
955	0.875581
955.5	0.918512
956	0.959507
956.5	0.988947
957	1
957.5	1
958	1
958.5	0
959	0
959.5	0
960	0
960.5	0
961	0
961.5	0
962	0
962.5	0
963	0
963.5	0.99259
964	0.966408
964.5	0.927192
965	0.884304
965.5	0.849324
966	0.834406
966.5	0.8462
967	0.878982
967.5	0.921208
