Normalised hour angle,RAVEN_sample_ID,Clearsky DNI_original,Clearsky DNI_fourier,Clearsky DNI_nofourier,Clearsky DNI_gaussianed
-1066.769726,0,976.0,916.82935466,59.1706453403,1.00363283689
-411.07288680000005,0,997.0,956.632717164,40.3672828356,0.560553679586
244.62395279999998,0,999.0,954.875416564,44.124583436,0.644367349948
900.3207960000001,0,982.0,924.410428959,57.5895710411,0.964632585951
1556.017636,0,941.0,878.299967497,62.7000325029,1.09219058992
2211.714475,0,862.0,821.215319107,40.7846808931,0.56966201904
2867.411315,0,690.0,611.979186534,78.0208134657,1.49061950439
3523.108158,0,0.0,84.6766220368,-84.6766220368,-1.20927042122
-3041.592185,0,503.0,512.973580134,-9.97358013447,-0.312661236074
-2384.128901,0,748.0,790.868785239,-42.8687852391,-0.744660956385
-1726.665617,0,860.0,861.298031641,-1.29803164132,-0.188770262049
-1069.202333,0,914.0,916.739481055,-2.73948105543,-0.210452380291
-411.7390524,0,938.0,956.624046943,-18.6240469428,-0.425651220347
245.72423160000002,0,940.0,954.907847216,-14.9078472156,-0.378124530464
903.1875156,0,917.0,924.21499872,-7.21499872022,-0.275198010248
1560.6508,0,862.0,877.740657961,-15.7406579608,-0.388697610713
2218.114084,0,753.0,820.361268708,-67.3612687077,-0.997285340935
2875.577364,0,524.0,607.968522602,-83.9685226017,-1.19920926907
3533.0406479999997,0,0.0,73.7022913139,-73.7022913139,-1.07148123265
-3049.449545,0,423.0,507.813314144,-84.8133141443,-1.21122677812
-2390.223996,0,691.0,789.353001699,-98.3530016994,-1.39424146038
-1730.998444,0,821.0,860.882909311,-39.8829093107,-0.710261931305
-1071.7728949999998,0,888.0,916.644783103,-28.6447831033,-0.567770906495
-412.547346,0,924.0,956.61332259,-32.6133225899,-0.621127854766
246.67820279999998,0,933.0,954.935880392,-21.9358803915,-0.470817949375
905.9037516000001,0,915.0,924.03132043,-9.03132042981,-0.299818020019
1565.1293039999998,0,868.0,877.199656751,-9.1996567514,-0.302108796424
2224.3548530000003,0,774.0,819.50527195,-45.5052719505,-0.769621152832
2883.580402,0,573.0,603.993069959,-30.9930699587,-0.599138241235
3542.80595,0,0.0,62.856090125,-62.856090125,-0.946251982355
-3057.430741,0,536.0,502.503222532,33.4967774679,0.407675645164
-2396.4478879999997,0,778.0,787.781299618,-9.78129961762,-0.310036286097
-1735.4650390000002,0,885.0,860.459707464,24.540292536,0.229465026235
-1074.48219,0,938.0,916.54524693,21.4547530696,0.176308717498
-413.4993408,0,963.0,956.600403965,6.39959603539,-0.073223884596
247.48351200000002,0,966.0,954.95948213,11.0405178701,-0.000389307847229
908.4663611999999,0,949.0,923.859365659,25.1406343414,0.240945405026
1569.44921,0,908.0,876.677637987,31.322362013,0.361333278275
2230.43206,0,826.0,818.649432027,7.35056797331,-0.0589549226817
2891.414909,0,643.0,600.057226095,42.9427739046,0.617542028181
3552.3977619999996,0,0.0,52.148925607,-52.148925607,-0.834296471
-3065.533855,0,571.0,497.040707227,73.9592927728,1.38793887844
-2402.799498,0,806.0,786.152657421,19.8473425787,0.149088752417
-1740.065141,0,906.0,860.028929692,45.9710703078,0.687238704473
-1077.33078,0,955.0,916.440859244,38.559140756,0.520701236245
-414.5964228,0,978.0,956.585130045,21.4148699548,0.175631835767
248.1379344,0,981.0,954.978618531,26.021381469,0.257846106381
910.8722951999999,0,964.0,923.699105631,40.3008943689,0.559109266127
1573.606652,0,922.0,876.175232252,45.8247677479,0.683796477857
2236.34101,0,838.0,817.795936964,20.2040630362,0.15511923588
2899.07537,0,652.0,596.165578882,55.8344211179,0.92298870771
3561.809728,0,0.0,41.5916507233,-41.5916507233,-0.730359092405
-3073.756651,0,566.0,491.423399739,74.5766002606,1.40576939576
-2409.277439,0,801.0,784.466156509,16.533843491,0.0932053466021
-1744.79823,0,901.0,859.591117107,41.4088828926,0.583372211576
-1080.319018,0,950.0,916.331605525,33.6683944746,0.411415332847
-415.83980519999994,0,973.0,956.567318192,16.4326818085,0.0914768936393
248.63940719999997,0,976.0,954.99325583,21.0067441696,0.168709839485
913.1186196000001,0,959.0,923.550511406,35.4494885944,0.450580483574
1577.597828,0,917.0,875.693029172,41.3069708281,0.581126344075
2242.077041,0,831.0,816.947047941,14.0529520592,0.0508842441788
2906.556253,0,641.0,592.322915812,48.6770841879,0.749890600352
3571.035466,0,0.0,31.1950421763,-31.1950421763,-0.601863381811
-3082.096559,0,574.0,485.649198963,88.350801037,1.68311368743
-2415.880048,0,814.0,782.72098199,31.2790180102,0.360472769826
-1749.663536,0,915.0,859.146844479,55.8531555209,0.923424741539
-1083.447025,0,965.0,916.217469248,48.7825307525,0.752364422963
-417.230514,0,987.0,956.546763918,30.4532360816,0.344128577187
248.9860008,0,990.0,955.003358779,34.9966412208,0.440559338736
915.202512,0,972.0,923.413555658,48.5864443418,0.747767812065
1581.4190230000002,0,932.0,875.231576528,56.7684234718,0.944945498206
2247.635534,0,849.0,816.105086732,32.8949132684,0.394605022501
2913.852046,0,662.0,588.534201241,73.4657987593,1.3739956397
3580.068557,0,0.0,20.9698228236,-20.9698228236,-0.456988863456
-3090.550684,0,585.0,479.716293726,105.283706274,2.01662279392
-2422.605359,0,825.0,780.916438594,44.0835614058,0.643428513674
-1754.66003,0,925.0,858.696717637,66.3032823633,1.18380945012
-1086.714706,0,975.0,916.098429605,58.901570395,0.996888532732
-418.7693808,0,998.0,956.52324072,41.4767592798,0.584869657881
249.17594759999997,0,1001.0,955.008890823,45.9911091768,0.687710815497
917.1212724,0,985.0,923.288213413,61.7117865874,1.06861551944
