Date,Time,Clearsky DNI,Hour angle,Sunrise hour angle,Sunset hour angle,Normalised hour angle
2018-01-11 23:30:00-07:00,15810,0,165.7953804,-75.27357685,77.66518142,2.168127717
2018-01-12 00:30:00-07:00,15870,0,-179.2046196,-75.29702716,77.88118202,-2.339818706
2018-01-12 01:30:00-07:00,15930,0,-164.2046196,-75.29702716,77.88118202,-2.143968394
2018-01-12 02:30:00-07:00,15990,0,-149.2046196,-75.29702716,77.88118202,-1.948118083
2018-01-12 03:30:00-07:00,16050,0,-134.2046196,-75.29702716,77.88118202,-1.752267771
2018-01-12 04:30:00-07:00,16110,0,-119.2046196,-75.29702716,77.88118202,-1.556417459
2018-01-12 05:30:00-07:00,16170,0,-104.2046196,-75.29702716,77.88118202,-1.360567148
2018-01-12 06:30:00-07:00,16230,0,-89.20461958,-75.29702716,77.88118202,-1.164716836
2018-01-12 07:30:00-07:00,16290,0,-74.20461958,-75.29702716,77.88118202,-0.968866525
2018-01-12 08:30:00-07:00,16350,688,-59.20461958,-75.29702716,77.88118202,-0.773016213
2018-01-12 09:30:00-07:00,16410,866,-44.20461958,-75.29702716,77.88118202,-0.577165901
2018-01-12 10:30:00-07:00,16470,944,-29.20461958,-75.29702716,77.88118202,-0.38131559
2018-01-12 11:30:00-07:00,16530,976,-14.20461958,-75.29702716,77.88118202,-0.185465278
2018-01-12 12:30:00-07:00,16590,986,0.795380417,-75.29702716,77.88118202,0.010385034
2018-01-12 13:30:00-07:00,16650,973,15.79538042,-75.29702716,77.88118202,0.206235345
2018-01-12 14:30:00-07:00,16710,934,30.79538042,-75.29702716,77.88118202,0.402085657
2018-01-12 15:30:00-07:00,16770,854,45.79538042,-75.29702716,77.88118202,0.597935968
2018-01-12 16:30:00-07:00,16830,672,60.79538042,-75.29702716,77.88118202,0.79378628
2018-01-12 17:30:00-07:00,16890,0,75.79538042,-75.29702716,77.88118202,0.989636592
2018-01-12 18:30:00-07:00,16950,0,90.79538042,-75.29702716,77.88118202,1.185486903
2018-01-12 19:30:00-07:00,17010,0,105.7953804,-75.29702716,77.88118202,1.381337215
2018-01-12 20:30:00-07:00,17070,0,120.7953804,-75.29702716,77.88118202,1.577187526
