time,process,process_on,process_status,w_dot_gen_kWe,elec_sold_kWe,price_elec,m_dot_hpt,m_dot_extract,hot_TES_inventory,cold_TES_inventory,v_dot_in_m3hr,capacity_m3day
51,RO,0,OFF,0.0,0.0,-0.03164433,33.16431564806916,11.975098872838238,458084715.6999444,3615.3424425052344,0.0,0.0
51,MED,0,OFF,0.0,0.0,-0.03164433,33.16431564806916,11.975098872838238,458084715.6999444,3615.3424425052344,0.0,0.0
51,ED,0,OFF,0.0,0.0,-0.03164433,33.16431564806916,11.975098872838238,458084715.6999444,3615.3424425052344,0.0,0.0
51,CRY,0,OFF,0.0,0.0,-0.03164433,33.16431564806916,11.975098872838238,458084715.6999444,3615.3424425052344,0.0,0.0
52,RO,0,OFF,0.0,0.0,-0.031672149999999996,33.164315768404286,11.975099568323472,467066768.4455754,3686.2323032301306,0.0,0.0
52,MED,0,OFF,0.0,0.0,-0.031672149999999996,33.164315768404286,11.975099568323472,467066768.4455754,3686.2323032301306,0.0,0.0
52,ED,0,OFF,0.0,0.0,-0.031672149999999996,33.164315768404286,11.975099568323472,467066768.4455754,3686.2323032301306,0.0,0.0
52,CRY,0,OFF,0.0,0.0,-0.031672149999999996,33.164315768404286,11.975099568323472,467066768.4455754,3686.2323032301306,0.0,0.0
53,RO,0,OFF,0.0,0.0,-0.03211518,33.16431663142573,11.975104556216188,476048821.17246825,3757.122193482215,0.0,0.0
53,MED,0,OFF,0.0,0.0,-0.03211518,33.16431663142573,11.975104556216188,476048821.17246825,3757.122193482215,0.0,0.0
53,ED,0,OFF,0.0,0.0,-0.03211518,33.16431663142573,11.975104556216188,476048821.17246825,3757.122193482215,0.0,0.0
53,CRY,0,OFF,0.0,0.0,-0.03211518,33.16431663142573,11.975104556216188,476048821.17246825,3757.122193482215,0.0,0.0
54,RO,0,OFF,0.0,0.0,-0.03484945,33.16432131706832,11.975131637215096,485030873.79762477,3828.012244047642,0.0,0.0
54,MED,0,OFF,0.0,0.0,-0.03484945,33.16432131706832,11.975131637215096,485030873.79762477,3828.012244047642,0.0,0.0
54,ED,0,OFF,0.0,0.0,-0.03484945,33.16432131706832,11.975131637215096,485030873.79762477,3828.012244047642,0.0,0.0
54,CRY,0,OFF,0.0,0.0,-0.03484945,33.16432131706832,11.975131637215096,485030873.79762477,3828.012244047642,0.0,0.0
55,RO,0,OFF,0.0,0.0,-0.03850751,33.16432609732381,11.975159265035781,494012926.31899077,3898.9024581634717,0.0,0.0
55,MED,0,OFF,0.0,0.0,-0.03850751,33.16432609732381,11.975159265035781,494012926.31899077,3898.9024581634717,0.0,0.0
55,ED,0,OFF,0.0,0.0,-0.03850751,33.16432609732381,11.975159265035781,494012926.31899077,3898.9024581634717,0.0,0.0
55,CRY,0,OFF,0.0,0.0,-0.03850751,33.16432609732381,11.975159265035781,494012926.31899077,3898.9024581634717,0.0,0.0
56,RO,0,OFF,0.0,0.0,-0.03437386,33.16432059543067,11.975127466459847,502994978.9598158,3969.7924840389783,0.0,0.0
56,MED,0,OFF,0.0,0.0,-0.03437386,33.16432059543067,11.975127466459847,502994978.9598158,3969.7924840389783,0.0,0.0
56,ED,0,OFF,0.0,0.0,-0.03437386,33.16432059543067,11.975127466459847,502994978.9598158,3969.7924840389783,0.0,0.0
56,CRY,0,OFF,0.0,0.0,-0.03437386,33.16432059543067,11.975127466459847,502994978.9598158,3969.7924840389783,0.0,0.0
57,RO,0,OFF,0.0,0.0,-0.027223289999999997,33.16430426333093,11.975033073947964,511977031.9552489,4040.681951132323,0.0,0.0
57,MED,0,OFF,0.0,0.0,-0.027223289999999997,33.16430426333093,11.975033073947964,511977031.9552489,4040.681951132323,0.0,0.0
57,ED,0,OFF,0.0,0.0,-0.027223289999999997,33.16430426333093,11.975033073947964,511977031.9552489,4040.681951132323,0.0,0.0
57,CRY,0,OFF,0.0,0.0,-0.027223289999999997,33.16430426333093,11.975033073947964,511977031.9552489,4040.681951132323,0.0,0.0
58,RO,0,OFF,0.0,0.0,-0.02111666,33.16427391062665,11.97485764837208,520959085.6097102,4111.570379746232,0.0,0.0
58,MED,0,OFF,0.0,0.0,-0.02111666,33.16427391062665,11.97485764837208,520959085.6097102,4111.570379746232,0.0,0.0
58,ED,0,OFF,0.0,0.0,-0.02111666,33.16427391062665,11.97485764837208,520959085.6097102,4111.570379746232,0.0,0.0
